date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,wind_speed_10m_mean,shortwave_radiation_sum
2010-01-01,9.4,12.5,7.2,84,3.9,16.7,6.2
2010-01-02,10.3,13.7,7.5,85,0.0,11.1,4.57
2010-01-03,12.6,15.0,10.9,93,18.0,14.0,2.59
2010-01-04,12.2,13.8,10.8,95,16.0,11.7,2.73
2010-01-05,9.7,13.8,6.5,85,0.0,12.7,6.71
2010-01-06,6.7,8.4,4.4,81,2.1,7.0,3.63
2010-01-07,6.4,9.6,3.3,71,1.4,15.6,9.49
2010-01-08,3.6,7.8,0.5,63,0.0,13.6,10.2
2010-01-09,3.1,8.5,-1.2,68,0.0,8.3,10.38
2010-01-10,2.8,3.4,1.8,81,11.4,17.6,2.28
2010-01-11,5.9,10.1,2.3,87,4.0,10.7,8.36
2010-01-12,11.4,13.6,7.7,91,28.3,17.8,1.73
2010-01-13,11.2,15.0,7.3,95,21.9,19.4,1.45
2010-01-14,11.0,12.9,8.7,84,2.7,18.6,6.53
2010-01-15,9.1,12.1,5.7,90,1.9,10.1,2.92
2010-01-16,13.6,16.0,11.1,93,4.3,16.1,2.85
2010-01-17,13.7,16.3,12.3,90,0.2,11.6,3.84
2010-01-18,12.9,16.4,9.8,91,2.6,11.9,3.75
2010-01-19,13.1,15.2,9.8,88,1.3,12.9,6.27
2010-01-20,11.2,13.8,9.2,82,0.1,8.5,8.51
2010-01-21,10.0,15.1,5.2,81,0.0,4.8,9.24
2010-01-22,11.0,14.5,8.8,82,0.1,9.4,4.79
2010-01-23,11.1,14.2,9.1,81,0.7,10.7,5.75
2010-01-24,11.3,15.5,8.6,81,0.0,10.4,8.72
2010-01-25,8.8,12.9,5.6,66,0.0,12.5,11.16
2010-01-26,7.5,13.1,4.1,62,0.9,20.6,7.97
2010-01-27,6.2,9.5,3.8,51,0.0,22.6,11.95
2010-01-28,7.3,13.1,3.4,61,0.0,12.9,12.26
2010-01-29,7.0,12.6,2.0,82,0.0,13.4,9.4
2010-01-30,8.3,12.7,4.5,82,0.0,11.6,9.62
2010-01-31,8.0,12.4,3.8,85,0.0,8.7,8.25
2010-02-01,7.3,13.1,2.8,80,0.0,9.2,12.68
2010-02-02,8.5,14.6,4.3,68,0.0,13.4,12.94
2010-02-03,8.4,12.8,4.9,72,6.0,13.9,5.35
2010-02-04,11.4,14.8,9.1,90,8.3,14.5,4.38
2010-02-05,10.7,14.2,7.6,85,0.6,12.6,7.46
2010-02-06,10.6,14.7,6.5,85,0.0,3.7,9.46
2010-02-07,11.0,15.7,7.3,85,1.2,7.5,9.13
2010-02-08,11.7,14.5,9.6,92,9.1,10.4,8.13
2010-02-09,9.9,13.8,6.2,87,0.2,13.3,10.7
2010-02-10,9.2,10.6,7.2,94,11.1,7.6,2.77
2010-02-11,8.1,11.9,3.9,67,0.0,8.7,14.26
2010-02-12,4.3,5.4,2.6,59,3.0,15.9,3.78
2010-02-13,5.0,10.1,0.8,60,0.0,11.2,14.88
2010-02-14,4.9,9.7,0.6,61,1.3,16.6,10.72
2010-02-15,5.6,6.4,4.0,89,18.9,25.1,2.15
2010-02-16,7.7,10.2,6.0,94,6.4,14.3,3.56
2010-02-17,8.9,12.0,5.7,88,6.0,12.0,7.01
2010-02-18,6.3,9.5,3.1,83,1.1,10.8,6.17
2010-02-19,7.5,11.9,4.4,73,0.5,15.9,14.85
2010-02-20,7.1,11.9,2.1,79,5.5,11.9,10.84
2010-02-21,11.5,15.2,8.5,92,24.2,17.7,7.24
2010-02-22,12.4,15.3,10.9,91,19.6,22.8,9.58
2010-02-23,12.0,14.2,10.8,91,19.8,23.3,8.15
2010-02-24,12.8,17.1,8.8,83,0.9,19.2,11.83
2010-02-25,13.4,15.6,10.5,86,17.5,22.7,6.98
2010-02-26,11.0,15.1,6.4,85,3.0,8.3,9.53
2010-02-27,13.6,18.7,8.9,84,26.8,29.2,5.48
2010-02-28,9.5,14.1,6.4,87,11.6,13.8,8.89
2010-03-01,10.6,14.7,6.5,77,0.7,10.8,11.9
2010-03-02,12.0,17.3,9.6,73,8.0,20.6,11.25
2010-03-03,11.4,14.7,8.5,86,1.6,11.9,8.64
